Events (chronological order),Interval,Observation id,Observation date,Subject,Behavior,Start (s),Stop (s),,,,,
1,A,July 25 M2U00511,7/1/2021 18:41,90F',Still,328,328,,,,,
2,A,July 25 M2U00511,7/1/2021 18:41,B9A',Self-grooming,328,328,,,,,
3,A,July 25 M2U00511,7/1/2021 18:41,C4B',Still,328,328,,,,,
4,A,July 25 M2U00511,7/1/2021 18:41,516',Still,328,328,,,,,
5,A,July 25 M2U00511,7/1/2021 18:41,7F0',Still,328,328,,,,,
6,A,July 25 M2U00511,7/1/2021 18:41,D8A',Still,328,328,,,,,
7,A,July 25 M2U00511,7/1/2021 18:41,E77',Still,328,328,,,,,
8,A,July 25 M2U00511,7/1/2021 18:41,3E4',Self-grooming,328.931,328.931,,,,,
9,A,July 25 M2U00511,7/1/2021 18:41,90F',Self-grooming,332.333,332.333,,,,,
10,A,July 25 M2U00511,7/1/2021 18:41,B9A',Self-grooming,332.333,332.333,,,,,
11,A,July 25 M2U00511,7/1/2021 18:41,3E4',Self-grooming,333.635,333.635,,,,,
12,A,July 25 M2U00511,7/1/2021 18:41,E77',Self-grooming,333.635,333.635,,,,,
13,A,July 25 M2U00511,7/1/2021 18:41,B9A',Still,342.944,342.944,,,,,
14,A,July 25 M2U00511,7/1/2021 18:41,C4B',ACU - Side,388.591,388.591,,,,,
15,A,July 25 M2U00511,7/1/2021 18:41,E77',Allow ACU,388.591,388.591,,,,,
16,A,July 25 M2U00511,7/1/2021 18:41,90F',Wing stretch,392.995,392.995,,,,,
17,A,July 25 M2U00511,7/1/2021 18:41,D8A',Leave cluster,437.24,437.24,,,,,
18,A,July 25 M2U00511,7/1/2021 18:41,90F',END,448,448,,,,,
19,A,July 25 M2U00511,7/1/2021 18:41,B9A',END,448,448,,,,,
20,A,July 25 M2U00511,7/1/2021 18:41,C4B',END,448,448,,,,,
21,A,July 25 M2U00511,7/1/2021 18:41,516',END,448,448,,,,,
22,A,July 25 M2U00511,7/1/2021 18:41,3E4',END,448,448,,,,,
23,A,July 25 M2U00511,7/1/2021 18:41,7F0',END,448,448,,,,,
24,A,July 25 M2U00511,7/1/2021 18:41,D8A',END,448,448,,,,,
25,A,July 25 M2U00511,7/1/2021 18:41,E77',END,448,448,,,,,
26,B,July 25 M2U00511,7/1/2021 18:41,90F',Still,2247,2247,,,,,
27,B,July 25 M2U00511,7/1/2021 18:41,B9A',Still,2247,2247,,,,,
